datetime,open,high,low,close,volume,symbol,company_name
2020-10-08,91.49,93.43,90.9,93.15,3253274,DUK,Duke Energy
2020-10-07,91.61,92.125,90.7,91.3,2480065,DUK,Duke Energy
2020-10-06,91.72,92.065002,90.46,90.77,2993887,DUK,Duke Energy
2020-10-05,90.98,92.15,89.9,91.74,3038568,DUK,Duke Energy
2020-10-02,89.22,92.15,88.69,91.58,5925175,DUK,Duke Energy
2020-10-01,88.029999,90.36,87.6,90.050003,6249705,DUK,Duke Energy
2020-09-30,88.0,89.4899,86.43,88.56,18804934,DUK,Duke Energy
2020-09-29,83.07,83.4,82.040001,82.41,2174775,DUK,Duke Energy
2020-09-28,82.97,84.080002,82.66,82.87,2424590,DUK,Duke Energy
2020-09-25,81.28,82.59,80.95,82.47,3854684,DUK,Duke Energy
2020-09-24,81.23,82.41,80.41,81.67,2582328,DUK,Duke Energy
2020-09-23,82.9,83.13,81.23,81.28,2322858,DUK,Duke Energy
2020-09-22,82.41,84.010002,82.255,82.69,2703948,DUK,Duke Energy
2020-09-21,82.050003,82.57,81.1694,82.57,3002015,DUK,Duke Energy
2020-09-18,84.2,84.74,82.9,82.95,5035855,DUK,Duke Energy
2020-09-17,84.25,84.78,83.64,84.6,3355958,DUK,Duke Energy
2020-09-16,85.0,85.48,84.57,84.84,2910381,DUK,Duke Energy
2020-09-15,84.94,85.87,83.9258,84.45,2582508,DUK,Duke Energy
2020-09-14,83.58,84.935,83.58,84.38,3438204,DUK,Duke Energy
2020-09-11,82.07,83.41,81.75,83.029999,3196940,DUK,Duke Energy
2020-09-10,82.22,82.7311,81.41,82.0,3591244,DUK,Duke Energy
2020-09-09,82.42,83.89,81.85,82.59,4411126,DUK,Duke Energy
2020-09-08,81.059998,81.24,79.38,80.73,3252171,DUK,Duke Energy
2020-09-04,81.22,81.82,79.93,80.97,2820296,DUK,Duke Energy
2020-09-03,81.82,82.7,80.34,81.14,3135123,DUK,Duke Energy
2020-09-02,79.24,81.9,78.98,81.47,3626200,DUK,Duke Energy
2020-09-01,79.84,80.175,78.975,79.21,3194648,DUK,Duke Energy
2020-08-31,79.7,81.53,79.61,80.34,3569267,DUK,Duke Energy
2020-08-28,79.92,79.99,78.95,79.71,3190794,DUK,Duke Energy
2020-08-27,79.68,80.37,79.215,79.55,2932800,DUK,Duke Energy
2020-08-26,80.42,80.62,79.31,79.55,3367934,DUK,Duke Energy
2020-08-25,81.5,81.5,80.43,80.85,2769330,DUK,Duke Energy
2020-08-24,81.38,81.655,80.5,81.47,2679398,DUK,Duke Energy
2020-08-21,81.2,81.33,80.28,81.0,3911087,DUK,Duke Energy
2020-08-20,81.26,81.61,80.56,81.040001,2715265,DUK,Duke Energy
2020-08-19,81.88,82.1855,81.46,81.66,2623147,DUK,Duke Energy
2020-08-18,82.57,82.77,81.5,81.66,2607237,DUK,Duke Energy
2020-08-17,82.29,83.11,81.66,82.6,3849505,DUK,Duke Energy
2020-08-14,82.66,82.896,81.93,82.15,2016173,DUK,Duke Energy
2020-08-13,83.029999,83.23,82.0,82.74,3219152,DUK,Duke Energy
2020-08-12,84.019997,84.775,83.83,84.32,3397739,DUK,Duke Energy
2020-08-11,84.99,85.0914,83.465,83.67,4546247,DUK,Duke Energy
2020-08-10,87.19,87.21,84.5257,84.76,4323253,DUK,Duke Energy
2020-08-07,83.79,86.69,83.68,86.61,4289517,DUK,Duke Energy
2020-08-06,83.27,84.39,82.67,84.21,3036406,DUK,Duke Energy
2020-08-05,84.72,84.86,83.28,83.51,2947067,DUK,Duke Energy
2020-08-04,83.5,84.97,83.34,84.69,3234460,DUK,Duke Energy
2020-08-03,84.67,84.75,83.11,83.81,2552180,DUK,Duke Energy
2020-07-31,84.050003,84.81,83.6,84.74,3292473,DUK,Duke Energy
2020-07-30,84.31,84.58,83.49,84.57,2828635,DUK,Duke Energy
2020-07-29,84.53,85.050003,83.84,84.97,2501754,DUK,Duke Energy
2020-07-28,81.25,84.98,81.21,84.6,4851395,DUK,Duke Energy
2020-07-27,82.5,82.64,81.089996,81.29,4199019,DUK,Duke Energy
2020-07-24,84.35,84.9,82.621,82.79,2953131,DUK,Duke Energy
2020-07-23,84.059998,84.39,83.48,83.99,2373087,DUK,Duke Energy
2020-07-22,82.0,84.51,81.52,84.15,3763312,DUK,Duke Energy
2020-07-21,81.5,82.79,81.099998,82.33,3892865,DUK,Duke Energy
2020-07-20,82.050003,82.23,80.946,81.099998,3271569,DUK,Duke Energy
2020-07-17,81.69,82.63,81.459,82.4,4603142,DUK,Duke Energy
2020-07-16,80.7,81.338,80.43,81.07,2874410,DUK,Duke Energy
2020-07-15,82.48,82.64,80.32,80.43,4501709,DUK,Duke Energy
2020-07-14,81.42,82.4737,81.39,81.69,4218174,DUK,Duke Energy
2020-07-13,81.15,81.97,80.96,81.42,2205139,DUK,Duke Energy
2020-07-10,79.79,81.58,79.76,81.32,2545669,DUK,Duke Energy
2020-07-09,81.33,81.33,79.11,79.74,3457440,DUK,Duke Energy
2020-07-08,80.86,81.95,80.33,81.44,3433141,DUK,Duke Energy
2020-07-07,79.2,81.18,79.15,80.82,4129946,DUK,Duke Energy
2020-07-06,80.5,81.86,79.12,79.81,5997782,DUK,Duke Energy
2020-07-02,82.64,82.92,81.44,81.84,2819677,DUK,Duke Energy
2020-07-01,79.97,82.38,79.7625,81.93,2835913,DUK,Duke Energy
2020-06-30,80.089996,80.48,78.93,79.89,4890020,DUK,Duke Energy
2020-06-29,79.57,80.25,78.52,80.25,2954003,DUK,Duke Energy
2020-06-26,79.35,79.9199,77.58,78.93,5321454,DUK,Duke Energy
2020-06-25,80.11,80.23,78.7881,79.45,3985231,DUK,Duke Energy
2020-06-24,81.080002,81.34,79.82,80.47,3676150,DUK,Duke Energy
2020-06-23,83.24,83.5,81.49,81.85,3771624,DUK,Duke Energy
2020-06-22,82.32,83.55,81.31,82.53,3878885,DUK,Duke Energy
2020-06-19,86.74,86.9292,82.11,82.11,8075757,DUK,Duke Energy
2020-06-18,85.66,86.38,85.0,85.77,3480071,DUK,Duke Energy
2020-06-17,87.0,87.36,85.48,86.21,4181840,DUK,Duke Energy
2020-06-16,89.0,89.48,86.41,86.95,3865236,DUK,Duke Energy
2020-06-15,85.040001,87.4188,84.3,86.96,4501225,DUK,Duke Energy
2020-06-12,88.93,88.99,85.73,86.74,3935784,DUK,Duke Energy
2020-06-11,88.8,89.050003,86.34,87.080002,4974269,DUK,Duke Energy
2020-06-10,90.41,90.95,89.5,90.19,2721368,DUK,Duke Energy
2020-06-09,91.0,91.07,88.93,90.32,3023664,DUK,Duke Energy
2020-06-08,89.46,92.2,89.11,91.91,2771038,DUK,Duke Energy
2020-06-05,89.4,91.56,89.15,89.49,3353385,DUK,Duke Energy
2020-06-04,88.8,89.38,87.48,88.44,3640896,DUK,Duke Energy
2020-06-03,88.33,89.65,88.0,89.23,2449587,DUK,Duke Energy
2020-06-02,87.82,88.099998,86.6,87.67,3446830,DUK,Duke Energy
2020-06-01,85.84,87.575,85.23,87.44,2438896,DUK,Duke Energy
2020-05-29,85.54,86.37,84.67,85.63,4018487,DUK,Duke Energy
2020-05-28,84.85,86.099998,84.6752,85.83,3957640,DUK,Duke Energy
2020-05-27,84.12,84.2,82.69,83.72,3606650,DUK,Duke Energy
2020-05-26,84.46,84.6727,82.69,82.81,3910328,DUK,Duke Energy
2020-05-22,82.19,83.32,81.89,83.23,2760571,DUK,Duke Energy
2020-05-21,83.059998,83.77,82.010002,82.34,3107997,DUK,Duke Energy
2020-05-20,83.95,84.089996,83.14,83.31,2710879,DUK,Duke Energy
2020-05-19,84.38,84.38,83.25,83.29,3020887,DUK,Duke Energy
2020-05-18,82.69,85.44,82.58,84.92,6747855,DUK,Duke Energy
2020-05-15,81.48,81.79,80.1736,81.19,5250725,DUK,Duke Energy
2020-05-14,80.0,82.39,79.72,82.3,3649564,DUK,Duke Energy
2020-05-13,81.55,82.099998,80.62,81.89,3998277,DUK,Duke Energy
2020-05-12,82.49,83.66,81.88,81.88,3524704,DUK,Duke Energy
2020-05-11,81.45,82.27,80.33,81.66,3924228,DUK,Duke Energy
2020-05-08,81.49,82.07,80.5,81.78,2875207,DUK,Duke Energy
2020-05-07,80.89,81.45,80.040001,80.31,3431738,DUK,Duke Energy
2020-05-06,83.18,83.365,80.040001,80.07,3581947,DUK,Duke Energy
2020-05-05,82.83,83.89,82.81,83.14,2781019,DUK,Duke Energy
2020-05-04,82.73,82.949,81.28,82.63,2947483,DUK,Duke Energy
2020-05-01,83.86,83.95,82.089996,82.64,3036874,DUK,Duke Energy
2020-04-30,86.0,86.41,84.18,84.66,3536809,DUK,Duke Energy
2020-04-29,88.54,88.75,86.45,86.63,2997602,DUK,Duke Energy
2020-04-28,88.12,89.14,87.33,87.63,3135495,DUK,Duke Energy
2020-04-27,86.28,87.6824,86.17,86.75,2593088,DUK,Duke Energy
2020-04-24,85.47,86.17,83.7,85.69,3723902,DUK,Duke Energy
2020-04-23,87.48,88.18,84.9,85.12,3298061,DUK,Duke Energy
2020-04-22,86.75,88.4,86.48,87.15,3089909,DUK,Duke Energy
2020-04-21,85.24,86.45,84.38,85.44,3682899,DUK,Duke Energy
2020-04-20,89.059998,89.48,86.58,86.65,3144083,DUK,Duke Energy
2020-04-17,89.32,90.59,87.57,90.099998,4299100,DUK,Duke Energy
2020-04-16,88.0,88.59,87.029999,87.59,2335115,DUK,Duke Energy
2020-04-15,88.5,89.45,87.099998,87.54,3694381,DUK,Duke Energy
2020-04-14,89.34,90.88,88.21,90.42,3812903,DUK,Duke Energy
2020-04-13,89.59,90.029999,86.43,87.36,3800460,DUK,Duke Energy
2020-04-09,86.5,93.0,86.32,90.31,6538917,DUK,Duke Energy
2020-04-08,80.5,86.58,80.029999,85.5,6729729,DUK,Duke Energy
2020-04-07,83.5,83.69,80.0,80.11,3522941,DUK,Duke Energy
2020-04-06,78.62,81.97,78.41,81.25,3960149,DUK,Duke Energy
2020-04-03,78.33,79.34,75.58,76.019997,2907159,DUK,Duke Energy
2020-04-02,76.43,79.96,76.24,79.39,3665871,DUK,Duke Energy
2020-04-01,77.92,79.75,76.36,77.57,4600766,DUK,Duke Energy
2020-03-31,82.37,83.96,80.51,80.88,5119878,DUK,Duke Energy
2020-03-30,81.35,83.94,80.56,83.46,5301003,DUK,Duke Energy
2020-03-27,78.029999,83.69,77.95,80.19,5091493,DUK,Duke Energy
2020-03-26,75.18,81.93,75.010002,81.19,6163938,DUK,Duke Energy
2020-03-25,71.19,78.55,70.19,74.71,6573717,DUK,Duke Energy
2020-03-24,67.010002,71.91,66.13,71.5,6516877,DUK,Duke Energy
2020-03-23,66.39,67.93,62.13,64.15,7060079,DUK,Duke Energy
2020-03-20,75.85,76.0,68.099998,68.4,8975727,DUK,Duke Energy
2020-03-19,79.12,79.17,74.0,75.050003,6361730,DUK,Duke Energy
2020-03-18,81.010002,82.98,77.17,79.28,6426485,DUK,Duke Energy
2020-03-17,78.58,86.55,78.15,86.0,6712831,DUK,Duke Energy
2020-03-16,79.3,84.65,76.0,76.58,7118877,DUK,Duke Energy
2020-03-13,85.010002,85.86,80.0,85.77,6156358,DUK,Duke Energy
2020-03-12,85.51,86.36,76.0,80.48,7684428,DUK,Duke Energy
2020-03-11,92.89,93.17,89.79,90.94,6268792,DUK,Duke Energy
2020-03-10,95.64,96.62,91.41,95.050003,6386812,DUK,Duke Energy
2020-03-09,94.5,96.7,92.85,94.58,5616178,DUK,Duke Energy
2020-03-06,97.45,99.5,95.58,99.050003,5522577,DUK,Duke Energy
2020-03-05,100.37,101.49,99.0,100.13,4327616,DUK,Duke Energy
2020-03-04,96.69,101.69,96.59,101.65,4284615,DUK,Duke Energy
2020-03-03,96.56,98.71,94.81,95.61,5060544,DUK,Duke Energy
2020-03-02,91.65,96.94,91.54,96.67,6803553,DUK,Duke Energy
2020-02-28,93.3,93.3,89.39,91.7,7910895,DUK,Duke Energy
2020-02-27,98.089996,99.3,94.96,94.99,4783987,DUK,Duke Energy
2020-02-26,99.29,100.49,98.82,98.94,3152236,DUK,Duke Energy
2020-02-25,102.51,102.68,99.019997,99.27,4093033,DUK,Duke Energy
2020-02-24,102.080002,103.79,101.72,102.3,5282981,DUK,Duke Energy
2020-02-21,101.33,102.99,101.3,102.43,3520070,DUK,Duke Energy
2020-02-20,101.17,101.84,101.010002,101.43,2711040,DUK,Duke Energy
2020-02-19,102.22,102.38,101.36,101.42,2809143,DUK,Duke Energy
2020-02-18,101.65,102.44,101.53,102.019997,6257305,DUK,Duke Energy
2020-02-14,100.16,101.77,100.089996,101.28,6300443,DUK,Duke Energy
2020-02-13,97.81,100.39,97.56,100.11,5132660,DUK,Duke Energy
2020-02-12,96.98,98.24,96.93,97.92,4377693,DUK,Duke Energy
2020-02-11,96.37,97.24,96.29,96.99,2993130,DUK,Duke Energy
2020-02-10,96.36,96.41,95.71,96.23,2647857,DUK,Duke Energy
2020-02-07,97.25,97.29,96.19,96.27,2747887,DUK,Duke Energy
2020-02-06,97.010002,97.39,96.81,96.93,1611050,DUK,Duke Energy
2020-02-05,96.42,97.36,96.3,97.14,2319341,DUK,Duke Energy
2020-02-04,97.55,98.019997,96.55,96.6,2802629,DUK,Duke Energy
2020-02-03,97.63,97.88,97.31,97.67,2666218,DUK,Duke Energy
2020-01-31,97.37,98.050003,96.97,97.63,3175413,DUK,Duke Energy
2020-01-30,96.52,97.55,96.41,97.47,3273072,DUK,Duke Energy
2020-01-29,96.35,97.089996,96.16,96.75,2335700,DUK,Duke Energy
2020-01-28,96.3,97.089996,96.029999,96.21,3696496,DUK,Duke Energy
2020-01-27,96.13,96.66,95.72,96.099998,2481109,DUK,Duke Energy
2020-01-24,95.93,96.61,95.81,96.28,2218964,DUK,Duke Energy
2020-01-23,95.28,96.16,95.22,96.080002,3824880,DUK,Duke Energy
2020-01-22,95.0,95.59,94.87,95.31,3638746,DUK,Duke Energy
2020-01-21,94.0,94.86,93.54,94.79,3429161,DUK,Duke Energy
2020-01-17,93.14,93.92,92.98,93.72,3053495,DUK,Duke Energy
2020-01-16,92.77,93.42,92.67,93.18,3244169,DUK,Duke Energy
2020-01-15,91.54,92.58,91.36,92.49,2357284,DUK,Duke Energy
2020-01-14,91.16,91.44,90.5,91.3,3009768,DUK,Duke Energy
2020-01-13,90.5,91.55,90.5,91.24,2979024,DUK,Duke Energy
2020-01-10,90.88,91.23,90.37,90.44,3224998,DUK,Duke Energy
2020-01-09,90.28,90.78,90.080002,90.62,2377171,DUK,Duke Energy
2020-01-08,90.46,90.87,89.96,90.4,2583273,DUK,Duke Energy
2020-01-07,90.89,90.89,89.84,90.27,3983865,DUK,Duke Energy
2020-01-06,90.4,91.040001,90.3,90.84,2410279,DUK,Duke Energy
2020-01-03,90.23,91.07,90.15,90.4,2825431,DUK,Duke Energy
2020-01-02,91.28,91.78,90.029999,90.34,3809879,DUK,Duke Energy
